file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,126,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,127,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,128,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,15
style.css,129,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,2
style.css,130,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,13
style.css,131,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,37
style.css,132,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,23
style.css,133,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,15
style.css,134,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,20
style.css,135,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,136,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,3
style.css,137,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,58
style.css,138,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,139,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,3
style.css,140,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,59
style.css,141,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,142,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,143,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,144,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,19
style.css,145,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,15
style.css,146,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,17
style.css,147,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,14
style.css,148,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,149,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,150,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,8
style.css,151,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,20
style.css,152,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,12
style.css,153,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,19
style.css,154,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,30
style.css,155,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,18
style.css,156,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,157,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,158,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,8
style.css,159,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,13
style.css,160,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,58
style.css,161,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,12
style.css,162,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,19
style.css,163,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,7
style.css,164,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,8
style.css,165,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,166,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,167,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,8
style.css,168,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,13
style.css,169,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,19
style.css,170,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,10
style.css,171,css,eb614b35,Nomin Batjargal,2025-02-08,21:47:55,-08:00,2025-02-08T21:47:55-08:00,0,14
style.css,172,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,173,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,0
style.css,174,css,71a0b874,Nomin Batjargal,2025-02-08,20:36:49,-08:00,2025-02-08T20:36:49-08:00,0,11
